edad;genero;nivelEducativo;estadoCivil;autoestima_1;autoestima_2;autoestima_3;culpa_1;culpa_2;culpa_3;aislamiento_1;aislamiento_2;aislamiento_3;nivelMaltrato
0,933333333;0;0,8;0;1;0;0,5;0;0;1;0,5;0,5;0,5;1
0,444444444;1;0,8;0,5;0;1;0,5;0,5;0,5;0;1;1;0,5;0
0,944444444;0;0,4;0,75;0,5;1;1;0;0;0,5;0;0;0,5;0,5
0,744444444;0;0,2;0,75;1;0;0;1;0,5;0;0;1;0;0
0,411111111;0;0,8;0;0,5;1;1;1;0,5;1;1;0;0,5;0
0,755555556;0;0,6;0,25;1;0;0,5;1;1;1;0;0;1;1
0,744444444;1;0;0,5;1;0;0,5;0,5;0,5;1;1;0;0;0,5
0,444444444;0;0,4;0;1;1;0,5;0;0,5;0;0,5;1;1;0,5
0,3;1;0;0,5;0,5;1;1;1;1;0;0;1;0,5;0,5
0,933333333;0;0,4;0,25;1;1;0;1;1;1;0;0;0;0
0,644444444;1;0,8;1;1;0,5;0,5;0,5;1;0,5;0;1;1;0
0,711111111;0;0;0,25;1;0,5;1;0,5;0,5;0,5;1;0,5;0,5;1
0,444444444;0;0,8;0,5;0,5;0,5;0,5;0;1;0,5;0,5;0;1;1
0,977777778;0;0,8;1;0;0;0;1;0,5;1;0;0,5;1;0
0,966666667;1;0,6;0,5;0,5;1;1;0;1;0,5;0,5;0,5;0,5;0
0,011111111;0;0;0;1;1;0,5;0,5;1;0,5;0,5;0;1;1
0,555555556;0;0,8;1;0,5;1;0;0;0;0;1;1;0;0
0,466666667;0;0;0,5;0,5;0;0,5;0,5;0,5;1;1;1;1;0
0,466666667;0;0,2;0,5;0;0,5;0;0;0;0;0;0,5;0;1
0,755555556;0;0,4;0,25;0;1;0,5;0,5;0,5;1;1;0;0,5;0
0,977777778;0;0,6;0;0,5;0;1;0,5;0;1;0,5;1;0,5;0,5
0,977777778;1;0,8;0;0;0;1;1;0;1;1;1;0,5;1
0,333333333;0;0,8;0,25;0,5;1;0;0;1;0,5;1;1;1;0,5
0,966666667;0;0,4;0;1;0,5;1;0,5;1;1;1;0;0,5;0
0,555555556;0;1;1;1;0;0,5;0;1;0,5;1;0;0,5;0,5
0,366666667;0;0,8;0,5;0;1;1;0,5;1;0;1;1;0;1
0,555555556;0;0,8;0;0;0;1;1;1;1;0,5;1;0,5;1
0,477777778;1;0;0,5;0;1;0;1;1;0;0;1;1;0,5
1;0;0,2;1;1;0;1;1;0,5;0,5;0,5;0;0;0
0,911111111;1;0,2;0;0;0;0;1;0;1;0,5;1;1;0
0,411111111;0;0,8;1;0;0,5;0,5;1;0;1;1;0,5;0,5;0,5
0,355555556;0;0,8;0,5;0;1;0;0;1;1;0;0,5;0;1
0,677777778;0;1;0,25;1;0;0;0;0;0;0;0;0;0
0,811111111;0;0;0;1;0,5;0;1;0;0;0;0;0,5;0
0,533333333;0;0,2;0,25;0,5;1;0,5;0;0,5;0,5;0,5;0,5;0,5;0,5
0,466666667;1;0,4;0;1;0;1;0,5;0;1;1;1;1;1
0,311111111;1;0,2;0,5;0;0,5;0,5;0;0,5;0,5;0,5;1;1;0,5
0,033333333;1;0;0;0,5;0;0;0;0;1;1;1;1;1
0,755555556;0;1;1;0;1;0,5;1;1;0,5;0,5;1;1;0,5
0,355555556;0;0,6;0,25;0,5;1;0;1;0,5;0,5;1;1;1;0
0,833333333;0;0,6;1;1;0;0;0;0;0;1;1;0;1
0,588888889;1;0,4;0;0;1;0,5;0,5;0,5;1;0,5;0;0;1
0,088888889;1;0;0;0;0,5;0;1;0;0;1;0,5;0,5;1
0,233333333;0;0,2;0,5;1;0,5;0,5;1;0,5;0;0,5;0;0;1
0,355555556;0;0;1;0,5;0;0,5;0;0;1;0;0,5;1;0
0,066666667;0;0;0;0;0,5;0;0,5;1;0,5;0;0,5;0;1
0,266666667;1;0,8;0,5;0;0,5;1;1;0,5;0,5;0,5;0;1;0
0,933333333;1;0;0,5;1;0,5;0;1;0,5;0;1;0,5;0,5;0
0,022222222;1;0;0;1;0,5;1;0;0;1;0;1;0;0
0,311111111;0;0,2;1;0;1;0,5;0,5;0,5;0,5;1;0;0;1
0,677777778;1;0,6;0;0,5;1;0;0;0,5;0;0;0,5;0;0,5
0,344444444;1;1;1;0,5;1;0,5;0,5;0,5;1;0,5;0,5;0,5;0
0,122222222;1;0;0;0,5;1;1;0;0;0,5;0;0;1;0,5
0,288888889;0;0,6;1;0,5;0;1;1;1;0,5;0;0,5;0,5;0
0,544444444;0;0;0,5;0;0,5;1;1;1;1;0,5;1;0,5;0,5
0,511111111;0;0;0,5;0,5;0;1;1;0,5;0;0,5;0;0;0,5
0,444444444;0;1;0,5;0,5;0,5;0,5;1;0;0;0;0;0,5;0
0,677777778;0;0,8;0;0;1;1;0;1;1;0;0,5;1;0
0,144444444;1;0;0;0;0;1;0,5;0;0,5;0,5;0,5;0,5;0,5
0,844444444;0;0;0;0;0,5;1;0;1;1;1;0;0,5;0,5
0,522222222;0;0,6;1;0,5;0,5;0;0;0,5;0;0;1;1;0
0,455555556;0;0,6;0,25;0,5;1;0;1;1;0;0,5;1;1;1
0,722222222;0;0,6;0,75;1;1;0,5;1;0;0,5;0,5;0,5;1;1
0,477777778;1;0,2;0;1;0,5;0,5;1;0;0,5;0,5;0;1;0,5
0,222222222;0;1;0,75;0,5;1;0,5;0;1;0,5;0,5;0,5;1;0
0,533333333;1;0,4;0,75;0,5;0;0,5;0;0;1;0;0,5;1;1
0,933333333;0;0,2;0,5;1;0,5;0,5;1;1;1;0;1;0,5;1
1;1;0,4;0,25;0;0;1;0;0,5;0,5;0,5;1;0;0,5
0,122222222;1;0;0;0,5;0,5;1;0,5;0,5;0,5;0,5;0,5;0;1
0,822222222;0;0;1;1;0,5;0;1;0;1;0,5;0,5;0;0,5
0,088888889;0;0;0;0,5;0,5;0;1;0,5;0;0,5;0,5;0;0
0,633333333;0;0,4;0;0,5;0,5;1;1;0;0;0;0,5;0,5;1
0,211111111;1;0;1;0,5;1;1;0,5;1;1;0,5;0,5;0;0
0,466666667;0;0,4;0,75;0;0;0;1;0,5;1;1;0;0,5;1
0,466666667;0;0;0;0,5;0;1;0,5;0;0;0;0;0;1
0,622222222;0;0;1;1;0;0;0;1;0;0,5;1;0;0,5
0,355555556;1;0,2;0,25;0,5;0,5;0;0;0;0,5;1;0;1;1
0,911111111;0;0,2;0,25;0,5;0;0,5;0;0,5;0,5;0;0;1;0,5
0,244444444;0;0,2;0,75;1;0;0,5;1;0;1;1;1;1;1
0,422222222;1;0,8;0,75;0;1;1;0;1;0;0;1;0,5;1
0,144444444;1;0;0;0;0,5;0;1;1;1;1;0,5;0;1
0,444444444;1;0,2;0,75;0,5;1;0,5;1;1;1;0,5;1;0;1
0,688888889;0;0;0,25;0,5;0;0,5;0,5;1;0,5;0,5;0;1;0,5
0,111111111;1;0;0;0,5;0;0,5;1;0,5;0;0;0,5;0,5;0,5
0,277777778;0;1;0,75;1;1;1;1;1;0;0;0;0,5;0,5
0,944444444;1;1;0,5;0;1;1;0,5;0;0,5;0,5;0;0,5;0
0,444444444;0;0,6;0,25;0,5;1;1;0;1;1;0;0,5;0;0
0,411111111;0;0;0,25;1;0;0,5;0,5;0,5;0,5;0;0;0;0,5
0,277777778;0;0,4;0,75;1;1;0,5;0;1;0,5;0,5;0;0,5;0
0,011111111;0;0;0;0;0;0,5;0,5;0;0;0,5;0,5;0;0
0,877777778;1;0,6;0;0,5;0,5;0,5;0,5;1;0,5;0,5;1;1;1
0,066666667;1;0;0;0;1;0,5;0,5;1;0;1;1;1;0
0,788888889;0;0,6;0,25;1;1;1;1;1;0;1;0;0,5;0,5
0,344444444;0;1;0,25;0,5;1;0;1;1;0;1;1;1;0
0,133333333;0;0;0;0,5;1;1;0;1;1;1;0,5;1;0,5
0,288888889;1;0,6;0,25;0,5;0;0,5;0,5;0;0,5;0;0,5;0,5;0,5
0,5;1;0,6;0;0,5;0;1;0,5;1;0;0,5;0,5;0,5;1
0,033333333;1;0;0;0,5;1;0;0;0;0;0,5;0;1;0
0,655555556;0;0,4;0,5;0;1;0,5;0;0;0;1;1;0;1
0,722222222;0;0;0,5;1;0;1;1;0,5;1;0,5;0;0;0,5
0,388888889;1;0,2;0,25;0;0,5;0,5;0;0,5;0;0,5;0,5;1;0,5
0,944444444;1;0;0,5;1;1;1;0,5;0;0;0,5;1;0;1
0,333333333;0;0,6;1;1;0;0;0;0,5;0,5;0,5;1;1;0,5
0,488888889;1;0,6;0,75;1;0;0,5;0;0;1;0,5;0,5;0,5;0,5
0,088888889;1;0;0;0,5;1;0,5;0,5;0;1;0;0;1;1
0,877777778;0;0,4;1;1;1;1;0,5;1;0;0,5;0,5;1;0,5
0,477777778;1;0,4;0;0,5;0;0;1;0;0;0;1;1;1
0,066666667;1;0;0;1;0;1;0;0;0;1;0,5;0;0,5
0,911111111;0;0,8;0,5;1;0,5;1;0,5;1;1;1;0,5;1;1
0,533333333;1;0,6;0,75;0;0,5;0;0,5;1;0;0,5;1;1;1
0,233333333;0;0,6;0,75;1;0,5;1;0,5;0,5;0,5;1;1;0;0
0,066666667;0;0;0;0;0,5;0;1;0;0;0;0,5;0;1
0,644444444;1;0,2;0,5;0;0,5;0,5;1;0,5;1;0,5;0;0,5;0,5
0,277777778;0;0,2;0,5;0;1;1;0,5;0,5;1;0;0;0;0
0,211111111;1;0,8;1;1;0,5;0;0,5;0;0,5;0,5;1;0;1
0,977777778;0;0;0;0,5;0;1;0,5;0,5;0;1;0;1;0,5
0,955555556;1;0,2;0,25;0;1;0,5;0;0,5;0;0,5;0;0;0
0,744444444;0;0,2;0,25;0,5;1;0,5;0,5;0,5;0;0;0;0,5;0,5
0,322222222;0;0;0,25;0,5;1;1;0;1;0,5;1;0,5;1;0
0,666666667;0;0,8;0,5;1;0,5;0;0,5;0;1;1;0,5;0;1
0,477777778;0;0,2;0,25;0;1;0;0;0,5;0,5;0,5;0,5;1;0,5
0,555555556;0;0,2;1;1;1;0,5;0;0;0,5;1;0,5;1;0,5
0,711111111;1;0;0,5;1;0,5;0;0,5;0;1;1;0,5;0;1
0,355555556;0;0,6;0,75;0,5;1;0,5;1;0,5;0;0;1;1;1
0,9;0;0,6;0,5;1;0;1;0;0,5;1;0;0;0,5;0,5
0,911111111;0;0,8;0;0;0;0;1;0;1;0,5;1;1;0
0,555555556;1;0,2;0;0,5;0,5;1;0,5;1;0;1;1;1;0
0,444444444;0;0;0,5;0;0;0;0,5;0;0;0;0;1;1
0,488888889;0;0,4;0,5;0;1;0;0,5;0;0;0,5;0;0,5;0,5
0,488888889;0;0,6;0,25;0;0;0,5;1;0,5;0;0;0,5;0;1
1;0;1;0,75;0;1;0;0;1;0,5;0;0;0;1
0,266666667;0;1;0;1;0;1;1;1;0,5;1;0;1;0,5
0,666666667;0;1;0,5;0,5;0;0,5;0,5;1;1;0,5;0;0,5;0,5
0,133333333;0;0;0;0;0;0,5;0;0;1;1;1;1;1
0,966666667;1;0,6;0,25;0;0;0,5;1;0,5;0,5;0;1;0;1
0,111111111;1;0;0;1;0,5;0;1;0,5;0,5;1;0,5;0,5;1
0,722222222;0;0,4;0;1;0;1;0;0;1;0;0,5;0,5;0
0,977777778;0;1;1;0;0,5;0;0;0;0;1;0,5;0;0
0,066666667;0;0;0;0,5;0,5;0,5;1;1;0;1;1;0,5;0,5
0,888888889;1;0;0,75;0,5;1;1;0;1;1;0;0,5;0;0
0,355555556;0;0,2;0,75;0;0,5;1;0,5;0;1;0,5;0,5;0,5;1
1;0;1;1;0,5;1;0;1;0,5;1;0;0,5;0,5;0
0,477777778;1;0,8;0;0;1;0,5;0,5;0;0,5;1;1;0;1
0,444444444;1;0,4;0,25;0,5;1;0;0,5;1;1;0,5;0;1;1
0,711111111;0;0,6;1;0;0;0;1;1;1;0,5;0;0;1
0,5;1;0;0,75;0,5;0,5;0;0;0;1;1;0;0;0
0,877777778;0;0;0,25;0,5;0,5;0,5;0,5;1;0,5;1;0;0,5;1
0,688888889;1;0;0,25;1;0,5;0,5;0;0;0,5;0,5;0,5;1;1
0,888888889;0;0;0;0;1;0;0;0;0,5;0;0,5;1;1
0,466666667;0;0;0,5;0,5;0,5;0;0,5;0;0,5;0;0,5;1;1
0,911111111;0;0,6;0,25;0;0,5;1;1;0;0;1;0;0;0
0,722222222;0;0;0,25;1;0;0;0;0;0;0;1;0,5;0
0,888888889;0;0,6;0,5;0;1;0,5;0,5;0,5;0,5;1;1;0;0
0,344444444;0;0,6;1;0,5;1;0;0,5;1;0;0,5;0,5;0;0
0,655555556;0;0;0,25;0,5;0,5;0;0,5;0;0,5;0,5;0,5;1;0,5
0,388888889;1;0,4;0,75;1;0,5;0;0;0;0;0;0,5;0,5;0
0,8;0;1;1;0;0;0;0;0,5;0,5;1;1;0;0
0,222222222;0;0,8;0;1;0,5;0,5;0;0;0,5;0,5;0;0,5;0,5
0,266666667;0;0,4;1;0;0,5;0;1;0,5;1;0,5;0;0,5;1
0,811111111;0;0,4;0,25;0,5;0;0;0;1;0;0,5;0,5;0,5;0
0,333333333;0;0,8;0,25;1;1;0,5;0,5;0;0;0,5;0;1;1
0,388888889;0;0,2;0,5;1;0,5;0;1;0;0,5;0;0;0,5;0,5
0,933333333;0;0;1;0,5;0,5;0;0;0,5;0,5;0,5;0,5;0;0,5
0,7;0;0,8;0,5;0,5;0;0,5;0;0,5;1;0;1;1;1
0,811111111;0;0,4;0,25;1;1;0,5;0,5;0;1;0,5;0;0;0,5
0,266666667;0;0,6;0,75;1;0,5;0,5;1;1;0,5;0,5;1;1;0
0,977777778;0;0,8;0;0,5;0,5;0;0,5;0,5;1;0,5;0,5;0;0,5
0,255555556;0;0,2;0;0;0,5;0,5;0,5;1;0,5;0;0,5;1;1
0,711111111;1;0,8;0,5;0,5;0;0,5;1;1;0;0;0;1;0,5
0,522222222;0;0,2;0;1;0,5;0,5;0;0;0;1;0,5;1;0
0,733333333;0;1;0,75;1;1;1;1;0,5;0,5;0,5;0,5;0,5;1
0,077777778;0;0;0;0;0;1;0;0,5;1;0,5;0,5;1;0,5
0,622222222;1;0;0,75;0,5;0;0,5;0,5;1;0;0,5;0,5;0;0,5
0,033333333;1;0;0;0;0;0,5;0,5;0,5;0;0;0,5;1;0,5
0,666666667;0;0,4;0;0,5;1;0;0,5;1;1;0,5;0,5;1;0
0,744444444;1;0;0;0,5;0;0,5;0,5;0;1;0;0,5;0,5;0,5
0,822222222;0;0,8;1;1;0;0,5;0,5;0;0;0;0,5;0,5;0
0,544444444;0;0,4;0,5;0;0,5;0,5;1;0,5;1;0,5;0;1;0,5
0,555555556;0;0;1;1;1;0;0;1;0;0,5;1;0,5;1
0,444444444;0;0;0;1;1;1;0;0,5;0;0;0;0;1
0,288888889;0;0,2;0,25;0,5;1;0,5;1;0,5;0;0;0,5;1;0
0,066666667;0;0;0;0;0,5;0,5;0;0;0;1;0;0,5;0,5
0,922222222;1;0;0,25;1;1;1;0;0,5;0;0,5;0;0,5;0
0,4;1;0,2;0;0;0,5;0,5;1;0,5;1;1;0,5;0,5;1
0,5;0;0,4;0,75;0;0;0,5;0,5;1;1;0;0;1;0,5
0,711111111;0;0,4;0;1;0;0;0,5;0;1;0;0;0,5;0
0,833333333;0;0;0,25;0;0;1;0;1;0,5;0;0,5;1;0
0,4;0;1;0;0;1;0,5;0,5;0,5;0;1;0,5;1;0
0;0;0;0;1;0,5;0;1;0,5;0;0;0;0;0
0,044444444;1;0;0;1;0,5;0;1;0;0,5;0,5;1;0;0,5
0,744444444;0;0,4;0,5;0,5;0;1;0,5;1;1;1;0,5;1;0
0,377777778;1;0,4;0;1;1;0;0,5;0,5;1;0,5;0,5;0,5;1
0,788888889;0;0,4;0,5;1;0;0,5;0;0,5;0;0,5;0;0;0,5
0,088888889;1;0;0;1;0;0;0;1;0,5;0;1;0,5;0,5
0,766666667;0;1;0;1;0;0;0;0;0,5;0,5;0;0,5;0
0,1;1;0;0;0;1;0,5;0,5;0;0,5;0;0,5;1;1
0,9;1;0,8;0,5;0,5;0;0,5;1;0,5;0;1;0,5;0;0
0,5;0;0,4;0,25;0,5;0,5;0,5;0;1;1;1;0;0;0
0,3;0;0,2;1;0,5;1;0,5;1;1;1;1;0;1;0,5
0,711111111;1;0,8;0,25;0,5;0;1;0;0,5;1;0,5;1;1;0
0,566666667;0;0;0,75;0;0,5;0;1;1;0;1;0,5;1;0,5
0,811111111;0;0,6;0,25;0;0;0;0,5;0,5;0;1;0;0,5;0,5
0,544444444;0;0,8;0;0;0,5;1;0,5;0;1;0,5;0;0,5;1
0,555555556;0;0,2;0,25;1;0;1;0;1;0,5;0;1;1;0,5
0,311111111;0;0,8;0,5;0;0,5;0;0,5;0;0;1;1;0;1
0,633333333;1;0,2;0,5;1;0;1;1;1;1;0,5;0,5;0,5;0
0,477777778;1;1;0,5;0,5;0;1;0;1;1;1;0,5;0;0
0,611111111;0;0,6;0,5;0;0;0,5;0,5;0,5;0,5;0;1;0,5;0,5
0,233333333;0;0,4;0;1;0;0;0,5;1;0,5;0,5;0;0,5;0,5
0,411111111;0;1;0;0;1;0;0,5;1;1;0;0,5;0,5;0
0,1;0;0;0;1;0;0,5;0;0,5;0,5;1;0;0,5;1
0,477777778;1;0,4;0,75;0,5;0,5;0;0,5;1;1;0,5;0,5;0;0,5
0;1;0;0;0;0,5;0,5;1;1;0,5;0,5;0,5;0,5;1
0,044444444;1;0;0;0,5;0;0;0,5;0;0;0,5;0,5;0,5;0,5
0,611111111;1;0;0;1;0,5;0,5;0,5;0;1;0;0,5;0;0,5
0,533333333;0;0,6;0,75;0,5;1;0;0,5;0;0;0,5;0,5;0;0,5
0,944444444;0;0,2;0,25;0;0,5;0,5;1;1;0,5;0,5;0;1;1
0,988888889;0;0;0;1;0,5;0;1;1;0,5;1;1;0;0,5
0,522222222;1;0;0;0;0,5;1;1;1;1;1;0,5;0,5;0,5
0,233333333;0;0,2;0,75;1;0,5;0;0;1;0;1;1;1;0,5
0,566666667;1;0;0;0;1;0;0,5;0;0;1;0,5;0;1
0,533333333;0;0;0;1;0;0;1;0,5;0,5;1;1;1;0,5
0,555555556;0;0,2;1;1;1;1;0;1;0,5;0,5;0,5;0,5;1
0,588888889;1;0;0,75;0;0,5;0,5;1;1;0;0;0,5;1;0,5
0,3;0;0,4;1;0;0;0;0,5;0;1;1;1;0;0
0,777777778;0;0,8;0,5;0;0,5;0;0,5;0,5;1;1;1;0;0,5
0,933333333;0;0,4;1;0,5;0;1;0;0;1;0,5;1;0,5;1
0,455555556;0;0,2;0,25;1;0;0;0,5;0;0,5;1;0,5;0,5;0
0,966666667;0;0,6;1;0;0;0;0;1;1;0,5;0,5;0;0
0,755555556;0;0,2;0,75;0,5;0,5;0;0;0;0;1;1;0;1
0,388888889;0;0,2;0,25;0,5;1;0;1;0;0;1;1;0,5;0
0,222222222;1;0,8;0;0,5;1;0,5;1;0;0;0;1;0,5;0
0,455555556;0;0,6;0;0;0,5;1;0;0,5;0,5;0,5;1;1;0
0,544444444;1;0,6;0,25;1;0;0,5;0,5;0;0;0,5;0,5;0;0
0,722222222;0;0;0;0,5;0,5;0;1;0;1;0;0;0;0
0,933333333;1;0,4;0;1;0;1;1;0;0,5;1;0;0;1
0,866666667;0;0,2;0;1;1;0;0,5;0,5;1;1;0;0;0,5
0,6;0;0,6;0,25;0,5;1;0,5;0,5;1;0;0;0,5;0;0,5
0,044444444;0;0;0;0,5;1;1;1;0;1;1;1;1;1
0,4;1;0,8;0,5;0,5;0,5;1;1;0;1;0,5;1;0,5;0,5
0,144444444;1;0;0;1;0,5;1;0;0;0;0,5;0,5;0;1
0,233333333;0;0,8;0,75;1;1;0,5;1;0,5;0;0;0,5;0,5;0
0,122222222;0;0;0;0,5;0;0;1;1;0;1;0,5;1;0,5
0,733333333;1;0,4;0,25;1;0;1;0;0;0,5;0;0;1;0,5
0,522222222;1;0;1;0,5;1;0,5;1;1;0,5;0,5;1;0,5;1
0,966666667;0;0,2;0,5;1;1;0;0,5;1;1;1;0,5;1;0,5
0,877777778;0;0,6;1;0;0;0;0;0;1;0,5;0,5;0;1
0,255555556;1;0;0,25;0;1;0,5;0,5;0,5;0;1;0,5;1;0,5
0,711111111;0;0,2;0,5;0,5;1;0;1;1;0;0;0,5;1;1
0,5;1;1;0,75;0,5;0;1;1;0,5;0,5;1;1;0,5;0,5
0,255555556;0;0,2;1;0,5;0;0,5;1;0,5;1;1;0,5;0;0
0,744444444;0;0,8;0;0,5;0,5;0;0,5;1;0;1;1;1;0,5
0,755555556;1;0,6;0,75;0;0,5;1;0,5;0,5;0;1;0,5;1;1
0,966666667;0;1;1;0,5;0;0,5;0;0;0,5;0;0;0;1
0,866666667;0;1;0;0,5;0;0;1;0;1;1;0,5;0,5;1
0,955555556;0;1;0;1;0;0;1;0,5;1;0,5;0;1;1
0,288888889;0;1;0;1;0;0;0,5;1;0,5;1;1;0,5;0,5
0,944444444;1;1;0,25;0;0,5;0;1;0,5;0;0;1;1;1
0,911111111;0;0;0,5;0;0;0,5;0,5;0,5;0,5;0;0;0;1
0,022222222;0;0;0;0;1;1;0,5;0;0;0,5;0,5;0,5;1
0,277777778;0;0,6;0;1;0,5;0;0;0,5;1;0;0;0,5;0
0,922222222;0;0,6;0,5;0,5;0;1;0,5;1;0;0,5;1;0;0
0,766666667;0;0,6;0;0,5;0,5;1;0,5;0;0;0,5;0,5;1;0,5
0,833333333;0;0,2;0;1;0;0;0;0;0;0,5;0;0,5;1
0,655555556;0;0,8;0,75;1;0;0;0,5;0;1;1;1;0,5;0
0,233333333;0;1;0,75;1;0,5;1;1;0,5;1;0;1;0,5;1
0,6;0;0;1;1;0;1;0;0;0;0;0,5;0,5;0
0,388888889;0;0,4;1;0,5;0,5;0,5;0;0,5;0;1;0,5;0;0
0,644444444;0;1;0,75;0,5;0;0,5;1;1;0;1;0,5;0;0
0,444444444;1;0,2;0,5;1;1;1;0;0,5;0,5;1;1;0;1
0,633333333;0;1;0,75;0,5;0;0;1;0;1;0;0;1;1
0,788888889;0;0,2;0;0;0,5;1;0,5;1;0;0,5;0;0,5;0
0,5;0;0,8;1;0;1;1;0;1;0;0;0,5;0,5;1
0,788888889;0;0;0,25;0;1;0;0;1;1;1;1;0;0,5
0,633333333;0;0,2;0,25;0,5;0,5;0,5;0;1;0;0;1;0,5;1
0,811111111;1;0;1;1;1;0;0;0,5;0,5;0;0;0;0,5
0,066666667;0;0;0;0;0;1;0;1;1;0,5;0,5;1;0,5
0,6;0;0;0,25;0;1;0;0;1;0;0,5;0,5;1;1
0,7;1;0,2;0,25;1;0,5;0;1;0,5;0,5;0,5;0,5;0,5;0
0,344444444;0;0,2;0,25;0;0;0;1;0;0;0,5;1;0,5;1
0,788888889;0;1;0,75;0,5;1;0;1;0,5;0;1;0;1;0
0,922222222;1;0,2;0;1;0;1;0,5;0,5;0,5;0;1;1;0,5
0,6;0;0,6;0,5;0,5;1;0,5;1;0,5;0,5;0,5;0,5;1;0,5
1;1;0,2;0,25;0,5;0,5;0,5;0;0;0;1;0;0;0
0,888888889;1;0;0,25;0;1;0,5;1;1;0,5;0;0;0,5;0,5
0,077777778;1;0;0;1;0;0,5;1;1;1;0,5;0,5;0;0
0,988888889;0;0;0,5;0,5;1;0;0;1;1;0,5;1;0,5;0,5
0,588888889;0;0,6;0;1;1;0;1;0;1;1;0;0,5;0,5
0;0;0;0;0,5;0;0;0;1;0,5;1;1;1;1
0,8;1;0,2;0,75;0,5;0;0;0,5;0;0,5;0,5;0,5;0,5;0,5
0,033333333;1;0;0;0;1;0,5;1;1;0;0;1;0,5;1
0,922222222;0;0,4;0,75;0,5;0,5;1;1;1;0;0,5;1;0;0,5
0,944444444;1;0,6;1;0,5;0;1;0;1;0;1;0,5;1;0
0,111111111;1;0;0;0,5;0;1;1;1;0;0;0,5;0,5;1
0,744444444;0;0,4;0,25;0;0,5;1;0;0,5;0,5;1;0;0;0,5
0,144444444;0;0;0;0;1;0;0,5;0,5;0;1;0,5;1;1
0,444444444;1;1;0;0;0;0;0,5;0,5;1;0;1;0;1
0,944444444;0;1;0,75;0;1;0;1;1;1;0,5;0,5;1;1
0,655555556;0;0,4;0,75;1;0,5;1;0;1;0,5;0,5;0,5;1;0,5
0,444444444;1;0,6;0;0;0,5;0,5;1;0;1;1;0,5;1;1
0,355555556;0;0,6;0,75;1;0;0;0;0;0;0;0,5;0,5;1
1;1;0,4;0,5;0;0;1;0,5;1;0,5;0,5;0;1;0
0,833333333;0;0,8;0,5;0,5;1;1;0,5;0;0,5;1;1;1;1
0,466666667;0;0,6;0,25;1;0,5;0,5;1;0,5;0;0;0,5;1;1
0,511111111;1;0,2;1;0;0,5;1;0;1;0;0,5;0,5;0;0,5
